"Species","Host","emmean","SE","df","lower.CL","upper.CL"
"Klebsiella pneumoniae","chicken",2015.00000000002,1.65883999472852,504,2011.74090691587,2018.25909308416
"Klebsiella pneumoniae","dog",2015.00000000002,2.70887436800399,504,2009.67792327975,2020.32207672028
"Salmonella enterica","horses",1993.60000000001,1.48371159680333,504,1990.68497852755,1996.51502147247
"Citrobacter freundii","human",2019.00000000002,4.69190803670394,504,2009.78189271875,2028.21810728129
"Enterobacter hormaechei","human",2018.33333333335,1.56396934556798,504,2015.26063090626,2021.40603576044
"Escherichia coli","human",2012.00000000002,4.69190803670392,504,2002.78189271874,2021.21810728129
"Klebsiella michiganensis","human",2019.00000000002,4.69190803670394,504,2009.78189271874,2028.21810728129
"Klebsiella oxytoca","human",2003.00000000001,4.69190803670399,504,1993.78189271874,2012.21810728129
"Klebsiella pneumoniae","human",2015.00515463919,0.238195541611396,504,2014.5371761453,2015.47313313308
"Klebsiella quasipneumoniae","human",2008.57142857144,1.77337454850054,504,2005.08731151073,2012.05554563215
"Klebsiella variicola","human",2019.00000000002,0.781984672783981,504,2017.46364878647,2020.53635121356
"Morganella morganii","human",2016.50000000001,3.31767998945702,504,2009.98181383172,2023.01818616831
"Proteus mirabilis","human",2018.87500000001,1.65883999472851,504,2015.61590691587,2022.13409308416
"Providencia rettgeri","human",2013.00000000002,4.6919080367039,504,2003.78189271874,2022.21810728129
"Pseudomonas aeruginosa","human",2018.9411764706,1.13795484829498,504,2016.70545705949,2021.17689588172
"Pseudomonas putida","human",2024.00000000002,2.34595401835197,504,2019.39094635938,2028.60905364065
"Salmonella enterica","human",2002.18181818183,1.41466350078183,504,1999.40245426099,2004.96118210267
"Escherichia coli","pig",2014.00000000001,2.708874368004,504,2008.67792327975,2019.32207672028
"Klebsiella pneumoniae","pig",2016.00000000001,3.31767998945696,504,2009.48181383172,2022.5181861683
"Salmonella enterica","pig",2016.00000000002,3.31767998945712,504,2009.48181383173,2022.51818616831
"Enterobacter hormaechei","unknown",2014.00000000002,4.69190803670392,504,2004.78189271874,2023.21810728129
"Escherichia coli","unknown",1999.50000000002,2.34595401835196,504,1994.89094635938,2004.10905364065
"Klebsiella pneumoniae","unknown",2017.00000000002,1.77337454850057,504,2013.51588293931,2020.48411706072
"Pseudomonas aeruginosa","unknown",1992.00000000001,4.69190803670401,504,1982.78189271874,2001.21810728129
